label,text
Politics,"LEGAL Armenian Archbishop Writes from Prison to US Vice President and Religious Freedom Summit   Nineteen Armenians remain unlawfully detained in Azerbaijani prisons and subjected to sham trials The Center for Truth and Justice   The ethnic cleansing of Armenians marks the moment when international justice ceased to be a mechanism of protection and became a backdrop for accepting a reality created by force Armen Gevorgyan   Appeal Sent to US Vice President JD Vance Regarding Life Imprisonment of Armenian Citizen in Russia   One year since the launch of the trial of illegally detained Armenian prisoners of war and political detainees in Baku A Factual Overview   At the hearing held on  November  the prosecution requested that the court sentence Madat Babayan to  years of imprisonment   The criminal charge against podcasters is a blatant violation of the law as it circumvents the decriminalisation of insult   I wish that the coming year will be a year of new opportunities peaceful coexistence solidarity valuebased progress and mutual respect for the sake of the full realization of human rights and social wellbeing Anahit Manasyan   Azerbaijan sentenced Karen Avanesyan to  years of imprisonment amidst noncompliance with the ECHRs binding decision   On  November  the prosecution requested that the court sentence Levon Balayan to  years of imprisonment,"
Politics,"LEGAL Gurgen Stepanyan is accused of involvement in a criminal organization under several articles of the Criminal Code of Azerbaijan including charges related to genocide mercenarism and terrorism   Gevorg Sujyan was tried before the Baku Court of Grave Crimes between  and  July  and was sentenced to  years in prison on  July    At a court hearing on  March  Ghazaryan reportedly stated that he had not killed anyone and surrendered because he did not want to fire on Azerbaijani soldiers   I do not recognize what is happening as a judicial process and do not intend to participate in an imitation of justice Ruben Vardanyan   Davit Ishkhanyan asked the court to provide a list of internationally registered organizations and media outlets operating in Azerbaijan this request was denied   Regarding pardons in Baku   Pressure on Expert Raises Alarms Over Fair Trial in Karapetyan Case   The Council of Europe Platform for the Safety of Journalists has issued an alert regarding the detention of journalists in Armenia and requested clarifications   The experience is different when it happens to you personally how Astghik Karapetyan advocates for parents rights   The prosecution requested  years of imprisonment for Arkadi Ghukasyan  the maximum sentence provided under Azerbaijani law for defendants aged  and older,"
Politics,"LEGAL It is concerning that highranking representatives of the ruling political party have harshly intervened in the affairs of the Holy Armenian Apostolic Church and have engaged in the targeting and stigmatization of independent media outlets and journalists   Address by the Wife of Political Prisoner Narek Samsonyan to the President of the French Republic Emmanuel Macron   Permanent Representative of Armenia Elected as the Chair of the United Nations Commission on Narcotic Drugs   Presentation of the CSO Meter  How was the year for the civil society environment in Armenia    The political prisoner Narek Samsonyans wife publicly addressed to the EU Ambassador Vassilis Maragos   Urgent Appeal Regarding Political Persecution Unlawful Detentions and Obstruction of Media Freedom in Armenia AntiFakeam   Political Prisoner Narek Samsonyans wifes address to the US Ambassador to Armenia Kristina Kvien   Despite Vigen Euljekjians health condition no treatment has been provided the lawyers petition   The question of the Armenians of NagornoKarabakh is not one of borders or ethnicity but of the universality of human rights say  international parliamentarians Le Monde   Season  Ep  The Regimes Unending Terror of Free Speech,"
Politics,"LEGAL Protecting children from sexual abuse requires better evidence not just criminal records   Saghatelyan and Samsonyan had adequately informed the audience about the possible use of such expressions during the podcast Therefore since no element of overtly disrespectful attitude toward society is present   Armenian Center for Political rights issued a statement regarding the new political persecution of Antifakeam team   Imnemnimi podcast hosts detained for content of  November episode   Urgent statement the armenian authorities have crossed all boundaries The Union of Journalists of Armenia   Aliyev Labels Armenian Prisoners War Criminals Undermining Due Process and Turning Justice into Propaganda   Five Years of Injustice Lawyer Marks Vicken Euljekjians Ongoing Imprisonment in Azerbaijan   EU hands over the Visa Liberalization Action Plan to Armenia   Unlawful Detention of Armenian Lawyer Highlights Growing Pressure on Legal Professionals   The Issue of Artsakh A Matter of Human Rights Not Territory  Discussion with the FranceArtsakh Friendship Circle,"
Politics,"LEGAL Ruben Vardanyan filed a motion to dismiss Berman citing general dissatisfaction with the proceedings   The purpose of this statement is solely to substantiate the fact of arbitrary detention without excluding the possibility that other rights of the attorney may also have been violated   In Baku Trial Against Ruben Vardanyan Continues With Questionable Witnesses   As the Human Rights Defender I reaffirm my commitment within the framework of the constitutional mandate of the Human Rights Defender to protect the rights of journalists and promote their unhindered and effective activities Anahit Manasyan   Venice Commission Armenias Criminal Code Provision on Material Incentives for Assemblies Violates Legal Certainty Principle   Council of Europe Committee calls for better protection of children against sexual abuse in the circle of trust   The UN Working Group must nullify its opinion on Ruben Vardanyan due to the chairs ties with Azerbaijan Ocampo   Is it possible to send EU representatives to Baku to monitor the trials of Armenian prisoners of war A Member of the European Parliament has submitted urgent written inquiries to the Commission   The Mother See of Holy Etchmiadzin will continue to pursue the restoration of His Eminence Archbishop Mikael Ajapahyans rightful freedoms including through international legal mechanisms   We are aware of allegedly politically motivated cases and we follow them closely corapporteur for the Monitoring Committee of PACE on Armenias obligations,"
Politics,"LEGAL When civil society is attacked in one country it creates a dangerous precedent that others may be tempted to follow Transparency International Anticorruption Center   Systematic Violence Against the Armenians of Artsakh Violates UN Principles  Statement on the International Day of NonViolence   Two Years in a Baku Prison Facts About Ruben Vardanyans Case   Displacement is an ongoing war violence and crime against generations   Remarks by Foreign Minister of Armenia at the Event marking Armenias accession to the PCA   We are obliged to preserve all the evidence proving ethnic cleansing Arman Tatoyan   Any Court that Respects the Rule of Law Would Throw Out the Evidence Against Armenian Captives in Baku Jared Genser   The violation of the right of return constitutes an infringement of fundamental human freedoms   Armenian Opposition Mayors Son Arrested   European Committee of Social Rights publishes annual activity report calling for stronger protection of social rights amid costofliving crisis,"
Politics,"LEGAL UK OECD Watchdog Accepts Human Rights Complaint Against Architectural Firm Following Conduct in Redesign of Shushi Artsakh   International Arrest Warrant For Former Head Of Armenian State Fund   Any peace is empty as long as there are prisoners Armen Gevorgyan   Lawyer Claims Suicide Attempts By Armenian Captives In Azerbaijan   No one shall be arbitrarily deprived of the right to enter his or her own country   The Human Rights Union of NagornoKarabakh Refugees urges states to respond appropriately to Azerbaijans crimes against NagornoKarabakhs civilian population during and after the conflict in line with the Hague and Geneva Conventions   Religious Freedom Under Threat Report Presented to the US Commission on International Religious Freedom   Karapetyans case crucial for Armenias future   Illegal Adoptions in Armenia   We call on international partners to remain consistent in protecting the rights of the NagornoKarabakh refugees and in securing the release of Armenian prisoners of war,"
Politics,"LEGAL The Karapetyan family Initiated Investment Arbitration against the Republic of Armenia over Expropriation of Electric Networks of Armenia   Human Rights Union Urges Protection of Artsakh Armenians on International Indigenous Peoples Day   Human Rights Defender Highlights Urgent Child Rights Issues in Armenia   Kocharyan Sues Pashinyan for Slander While Karapetyan Sues Over  Others   Hearings in Ruben Vardanyans Case to Continue in Baku He and Other Armenian Prisoners Are Deprived of Any Opportunity to Prove Their Innocence   BourglsValence France adopts a resolution in favor of the release of Armenian prisoners in Azerbaijan   Facts That Cannot Be Ignored Gross Violations of Ruben Vardanyans Rights   Deputy Foreign Minister of Armenia Strong Mechanisms Needed to Prevent Aggression and Ensure Accountability   Prosecutor General requests consent to initiate public criminal prosecution against RA NA deputy Artur Sargsyan   CoE Committee of Ministers Adopts Interim Resolution Against Azerbaijan in Ramil Safarov Case,"
Politics,"LEGAL Issue of Giving consent to the initiation of criminal prosecution against NA deputy Seyran Ohanyan debated at NA extraordinary session   Armenias Human Rights Defender Discusses AntiDiscrimination and Democratic Cooperation During Strasbourg Visit   Enforced Disappearance and Unknown Fates A Complaint to the UN Working Group on Enforced or Involuntary Disappearances   Ombudsperson Anahit Manasyan Calls for Stronger Support for Victims of Torture    journalists given lengthy jail terms as Azerbaijan crushes free press   In  HRD Office received  applicationscomplaints of which   positively solved   New law allowing the Ministry of Internal Affairs to conduct biometric surveillance poses risks to a number of rights international response   The Azerbaijani false manipulation has been exposed no statement was made against Armenian prisoners   As legal counsel guided by the principles of professional ethics and constitutional guarantees of the right to defense I will continue to consistently advocate for strict adherence to the principle of legality within the framework of the legislation of the Republic of Azerbaijan during the consideration of this case Avraam Berman   Annual report on  budget execution of Ministry of Internal Affairs presented,"
Politics,"LEGAL CSO Meter  Armenia and Moldova Lead in Civil Society Development   Every individual unlawfully detained in Bakus prisons must be released without delay Alvina Gyulumyan   Indictment Against Ruben Vardanyan A Politically Motivated Attack Undermining Legal Principles   Abuse Threats and Boorish Language Pashinyan Faces CPC Inquiry for Misconduct Taguhi Tovmasyan   National Assembly debates annual report on activities of RA Human Rights Defender for    At the meeting topics related to the key areas of ArmeniaUnited Kingdom cooperation in the defence sector and the prospects for their development were discussed   Report on Activities of RA AntiCorruption Committee for  is under debate   Collapse of Judicial Independence in Azerbaijan Human Rights Experts Sound Alarm at OSCE Side Event   Report on RA Investigative Committee for  is under debate   Union of Journalists of Armenia Condemns Detention of Lilit Aghekyan,"
